Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,Lat,Long,State,Georef ,Navdat Sample Number ,Authors,,,,,,,,,
WO2-860,47.58,15.27,13.9,7.32,2.73,9.42,0.85,43.5732,-112.9138,Idaho,1994-000002,56045,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
WO2-349,47.22,15.51,12.84,8.29,2.44,10.97,0.42,43.5732,-112.9138,Idaho,1994-900072,56097,"Shervais, J.; Vetter, S.; Hackett, W.R.",,,,,,,,,
ICP121-470,47.01,15.51,11.96,10.33,2.15,10.66,0.43,43.5786,-112.9357,Idaho,1997-037544,56235,"Reed, M F; Bartholomay, R C; Hughes, S S",,,,,,,,,
ICP123-709,47.48,14.51,13.38,8.13,2.7,10.15,0.6,43.5638,-112.9353,Idaho,1997-037544,56261,"Reed, M F; Bartholomay, R C; Hughes, S S",,,,,,,,,
51,77.1,11.78,1.75,0.02,3.45,0.56,5.19,35.52,-117.3822,California,1984-019557,63239,"Sarna-Wojcicki, Andrei M; Bowman, H R; Meyer, C E; Russell, P C; Woodward, M J; McCoy, Gail; Rowe, J J, Jr; Baedecker, P A; Asaro, Frank; Michael, Helen",,,,,,,,,
MB-364,58.73,17.31,6.43,3.81,4.02,6.68,1.7,48.729,-121.813,washington,2003-046396,75308,"Hildreth, Wes; Fierstein, Judy; Lanphere, Marvin",,,,,,,,,
11,78.19,11.88,0.69,0.02,4.11,0.44,4.58,33.6,-116.6956,California,1984-019557,63203,"Sarna-Wojcicki, Andrei M; Bowman, H R; Meyer, C E; Russell, P C; Woodward, M J; McCoy, Gail; Rowe, J J, Jr; Baedecker, P A; Asaro, Frank; Michael, Helen",,,,,,,,,
2A-333,45,13.98,15.97,7.58,2.48,10.34,0.58,43.7856,-112.7776,Idaho,2002-042833,56583,"Hughes, Scott S; McCurry, Michael; Geist, Dennis J",,,,,,,,,
23-327,46.24,15.09,13.59,9.58,2.47,10.22,0.39,43.5671,-112.9204,Idaho,2002-042833,56651,"Hughes, Scott S; McCurry, Michael; Geist, Dennis J",,,,,,,,,
MB-655,58.63,17.38,6.5,3.86,3.91,6.7,1.7,48.734,-121.821,washington,2003-046396,75321,"Hildreth, Wes; Fierstein, Judy; Lanphere, Marvin",,,,,,,,,
