Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,TiO2,MnO,P2O5,LOI,Stratigraphic Unit,Stratigraphic Age,Reference,interpreted_age,Age Reference,Notes,,In CMIBS,Age in SGP?
MED17,55.32,12.77,19.13,6.49,0.01,0.17,0.02,0.53,0.07,0.11,4.76,Roodepoort,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
JWS810,56.91,18.74,7.98,5.4,0.23,1.05,4.08,0.55,0.01,0.14,4.94,Bothaville,Neoarchean,Wronkiewicz (1989) [thesis],2700,Wronkiewicz (1989) [thesis],,,N,N
JWS89,58.63,18.45,8.33,5.34,0.22,0.2,3.92,0.57,0.01,0.14,4.32,Bothaville,Neoarchean,Wronkiewicz (1989) [thesis],2700,Wronkiewicz (1989) [thesis],,,N,N
JWS812,75.59,8.32,3.14,3.23,0.22,3.52,1.6,0.19,0.01,0.07,4.64,Bothaville,Neoarchean,Wronkiewicz (1989) [thesis],2700,Wronkiewicz (1989) [thesis],,,N,N
D50,54.31,18.44,8.07,6.06,0.33,0.49,8.04,0.87,0.02,0.16,2.83,Selati Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
MEE31,50.05,25.24,5.76,3.67,0.09,0.17,7.56,1.21,0.04,0.14,6.08,Black Reef Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
MEE38,51.93,25.1,4.79,3.63,0.17,0.22,6.9,1.06,0.05,0.17,6.24,Black Reef Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
D56,50.44,16.54,10.74,7.14,0.49,2.9,6.83,2.42,0.04,0.55,4.92,Selati Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
CDV128,61.82,16.88,4.51,3.86,0.21,0.49,6.32,0.82,0.01,0.27,4.6,Black Reef Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
MEE22,55.57,21.44,6.12,3.13,0.03,0.27,6.24,1.09,0.04,0.19,5.86,Black Reef Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
MEE40,50.75,24.19,5.61,4.19,0.08,0.74,6.23,1,0.12,0.14,6.95,Black Reef Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
MEE4,55.92,21.42,5.42,3.04,0.17,0.15,5.88,0.95,0.04,0.11,5.64,Black Reef Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
MEE35,60.14,20.55,5.04,2.4,0.05,0.05,5.88,1,0.02,0.05,4.55,Black Reef Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
MEE17,60.61,19.14,5.32,2.73,0.01,0.29,5.04,0.98,0.05,0.21,4.92,Black Reef Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
MEE25,55.37,21.72,7.51,3.47,0.24,0.21,4.96,0.98,0.05,0.16,5.1,Black Reef Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
MEE20,48.46,17.96,5.5,5.26,0.03,5.78,4.88,0.87,0.4,0.13,10.6,Black Reef Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
MEE37,61.49,17.46,7.27,2.97,0.06,0.26,4.35,0.83,0.07,0.19,4.86,Black Reef Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
