Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,TiO2,MnO,P2O5,LOI,Stratigraphic Unit,Stratigraphic Age,Reference,interpreted_age,Age Reference,Notes,,In CMIBS,Age in SGP?
YL2,57.37,18.43,7.39,2.65,2.13,0.56,3.85,0.95,0.12,0.16,4.5,Yerba Loca Fm,Ordovician,Abre et al 2012,455,Abre et al 2012,,,N,N
YL1,60.87,16.82,6.45,2.33,2.18,0.42,3.42,0.97,0.06,0.2,4.68,Yerba Loca Fm,Ordovician,Abre et al 2012,455,Abre et al 2012,,,N,N
YL441,58.75,17.83,6.44,2.42,3.28,0.82,3.4,1.07,0.08,0.19,3.8,Yerba Loca Fm,Ordovician,Abre et al 2012,455,Abre et al 2012,,,N,N
YL450,69.54,12.11,6.1,1.92,2.52,0.38,1.92,0.84,0.1,0.2,3.24,Yerba Loca Fm,Ordovician,Abre et al 2012,455,Abre et al 2012,,,N,N
20446,55.15,18.76,8.49,3.58,1.87,0.49,4.68,1.04,0.08,0.16,4.94,La Cantera Fm,Ordovician,Abre et al 2012,451.2,Abre et al 2012,,,N,N
20442,56.48,17.64,8.14,3.66,1.6,0.65,4.1,1.12,0.05,0.17,5.23,La Cantera Fm,Ordovician,Abre et al 2012,451.2,Abre et al 2012,,,N,N
20450,59.44,17.06,7.74,3.13,1.57,0.46,4.08,1.1,0.05,0.16,4.97,La Cantera Fm,Ordovician,Abre et al 2012,451.2,Abre et al 2012,,,N,N
E7,64.89,14.2,7.1,2.23,0.8,0.53,4.07,0.71,0.02,0.27,4.6,Empozada Fm,Ordovician,Abre et al 2012,451.2,Abre et al 2012,,,N,N
20452,57.6,17.22,7.72,3.11,1.67,0.66,3.94,1.24,0.05,0.18,5.63,La Cantera Fm,Ordovician,Abre et al 2012,451.2,Abre et al 2012,,,N,N
E5,59.03,15.3,8.49,2.38,1.82,2.34,3.85,1.2,0.09,0.24,6.19,Empozada Fm,Ordovician,Abre et al 2012,451.2,Abre et al 2012,,,N,N
20457,62.3,16.33,7.12,2.31,1.52,0.39,3.56,1.14,0.06,0.19,4.7,Alcaparrosa Fm,Ordovician,Abre et al 2012,451.2,Abre et al 2012,,,N,N
20448,59.37,16.03,7.48,3.09,1.87,1.14,3.44,1.24,0.05,0.19,5.13,La Cantera Fm,Ordovician,Abre et al 2012,451.2,Abre et al 2012,,,N,N
20459,63.38,15.89,7.88,2.28,1.67,0.32,3.42,1.02,0.06,0.15,3.66,Alcaparrosa Fm,Ordovician,Abre et al 2012,451.2,Abre et al 2012,,,N,N
A2,61.07,16.81,6.67,2.25,2.15,0.45,3.32,1.09,0.04,0.2,4.71,Alcaparrosa Fm,Ordovician,Abre et al 2012,451.2,Abre et al 2012,,,N,N
20461,65.5,14.75,7.12,2.07,1.85,0.33,3.12,1.03,0.08,0.15,3.38,Alcaparrosa Fm,Ordovician,Abre et al 2012,451.2,Abre et al 2012,,,N,N
A1,67.83,13.04,6.48,1.91,1.93,0.39,2.21,0.93,0.08,0.18,4.29,Alcaparrosa Fm,Ordovician,Abre et al 2012,451.2,Abre et al 2012,,,N,N
LPT19,63.59,16.15,5.09,0.81,1.82,0.09,3.57,0.89,0.01,0.07,6.03,Trapiche Fm,Ordovician,Abre et al 2012,449.1,Abre et al 2012,,,N,N
LPT17,60.29,15.5,7.92,1.43,2.16,0.13,3.23,0.8,0.02,0.1,7.06,Trapiche Fm,Ordovician,Abre et al 2012,449.1,Abre et al 2012,,,N,N
LPT7,63.73,13.74,6.53,2.09,2.31,0.65,2.94,0.75,0.05,0.11,5.21,Trapiche Fm,Ordovician,Abre et al 2012,449.1,Abre et al 2012,,,N,N
LPT21,83.45,4.46,3.38,0.43,1.8,0.14,0.29,0.21,0.01,0.08,4.62,Trapiche Fm,Ordovician,Abre et al 2012,449.1,Abre et al 2012,,,N,N
LPT22,84.63,4.19,2.88,0.38,1.38,0.11,0.2,0.21,0.01,0.07,4.35,Trapiche Fm,Ordovician,Abre et al 2012,449.1,Abre et al 2012,,,N,N
20436,59.13,18.43,6.92,2,1.52,0.21,4.57,1.39,0.04,0.12,5.63,Don Braulio Fm,Silurian,Abre et al 2012,436.7,Abre et al 2012,,,N,N
20439,60.32,15.68,7.32,2.89,2.16,1.51,3.44,1.07,0.09,0.2,5.19,Don Braulio Fm,Silurian,Abre et al 2012,436.7,Abre et al 2012,,,N,N
20401,75.06,10.61,3.98,1.17,0.8,0.21,2.84,0.87,0.02,0.11,4.32,La Chilca Fm,Silurian,Abre et al 2012,436,Abre et al 2012,,,N,N
NGN-1,64.58,21.55,2.879012876,0.65,0.8,0.13,9.74,0.64,0,0.05,,Gwalior Gp,Paleoproterozoic,Absar et al 2009,1895.5,Absar et al 2009,,,N,N
JSX-3b,59.15,21.31,7.436523605,1.6,0.77,0.56,8.73,0.91,0,0.03,,Gwalior Gp,Paleoproterozoic,Absar et al 2009,1895.5,Absar et al 2009,,,N,N
TUN-1b,57.39,19.64,10.04875536,1.47,0.89,0.5,8.64,0.78,0.03,0.05,,Gwalior Gp,Paleoproterozoic,Absar et al 2009,1895.5,Absar et al 2009,,,N,N
BDE-1b,67.79,18.67,2.512188841,0.77,0.89,0.07,8.6,0.43,0,0.04,,Gwalior Gp,Paleoproterozoic,Absar et al 2009,1895.5,Absar et al 2009,,,N,N
TUN-2,58.04,19.01,10.09321888,1.42,1,0.48,8.5,0.84,0.02,0.02,,Gwalior Gp,Paleoproterozoic,Absar et al 2009,1895.5,Absar et al 2009,,,N,N
TUN-3,57.54,21.16,7.981201717,1.55,0.99,0.64,8.42,0.89,0.01,0.03,,Gwalior Gp,Paleoproterozoic,Absar et al 2009,1895.5,Absar et al 2009,,,N,N
JSX-2b,61.86,17.58,7.814463519,1.2,0.86,0.42,7.98,0.59,0.05,0.02,,Gwalior Gp,Paleoproterozoic,Absar et al 2009,1895.5,Absar et al 2009,,,N,N
MHG-1,73.94,15.64,1.856351931,0.51,0.53,0.06,6.7,0.36,0,0.02,,Gwalior Gp,Paleoproterozoic,Absar et al 2009,1895.5,Absar et al 2009,,,N,N
SDL-2c,60.11,23.33,8.826008584,0.81,0.66,0.06,5.9,0.97,0.01,0.05,,Gwalior Gp,Paleoproterozoic,Absar et al 2009,1895.5,Absar et al 2009,,,N,N
LV2,58.9,20.7,5.7,1,0.9,0.7,3.5,0.9,0,0.2,6.93,Huayacocotla Formation,Jurassic,Armstrong-Altrin et al 2013,187.7,Armstrong-Altrin et al 2013,,,N,N
LV3,60,20.3,6.1,1.1,0.9,0.9,3.2,0.9,0,0.1,6.33,Huayacocotla Formation,Jurassic,Armstrong-Altrin et al 2013,187.7,Armstrong-Altrin et al 2013,,,N,N
LV7,64,18.4,5.5,0.8,0.8,0.2,3,0.9,0,0.1,5.86,Huayacocotla Formation,Jurassic,Armstrong-Altrin et al 2013,187.7,Armstrong-Altrin et al 2013,,,N,N
LV5,63.8,19.2,4.7,0.8,1,0.1,3,1,0,0.1,5.96,Huayacocotla Formation,Jurassic,Armstrong-Altrin et al 2013,187.7,Armstrong-Altrin et al 2013,,,N,N
LV10,66.7,17.4,3.5,0.7,1,0.01,2.9,0.9,0,0.1,6.52,Huayacocotla Formation,Jurassic,Armstrong-Altrin et al 2013,187.7,Armstrong-Altrin et al 2013,,,N,N
LV6,66.3,17.2,5.2,0.9,0.9,0.2,2.8,0.9,0,0.1,5.15,Huayacocotla Formation,Jurassic,Armstrong-Altrin et al 2013,187.7,Armstrong-Altrin et al 2013,,,N,N
LV8,66.3,17,5.3,0.8,0.8,0.2,2.8,0.9,0,0.1,5.43,Huayacocotla Formation,Jurassic,Armstrong-Altrin et al 2013,187.7,Armstrong-Altrin et al 2013,,,N,N
LV9,66.8,16.5,5.8,0.8,0.8,0.2,2.6,0.9,0,0.1,5.28,Huayacocotla Formation,Jurassic,Armstrong-Altrin et al 2013,187.7,Armstrong-Altrin et al 2013,,,N,N
LV4,78,11,3.3,0.7,1.3,0.1,1.3,0.5,0,0.1,3.49,Huayacocotla Formation,Jurassic,Armstrong-Altrin et al 2013,187.7,Armstrong-Altrin et al 2013,,,N,N
LV1,76.9,8.5,4,1.1,1.1,1.6,0.9,0.5,0.1,0.1,4.8,Huayacocotla Formation,Jurassic,Armstrong-Altrin et al 2013,187.7,Armstrong-Altrin et al 2013,,,N,N
EC6,61.2,19.7,5.9,0.9,0.8,0.2,3.4,0.9,0,0.2,7.07,Pimienta Fm,Jurassic,Armstrong-Altrin et al 2013,151.5,Armstrong-Altrin et al 2013,,,N,N
EC1,61.3,18.4,5.5,1.2,1,1.7,3.1,0.9,0,0.2,6.39,Pimienta Fm,Jurassic,Armstrong-Altrin et al 2013,151.5,Armstrong-Altrin et al 2013,,,N,N
EC10,59.5,18.7,6,1.1,0.9,1.6,3.1,0.9,0,0.3,6.95,Pimienta Fm,Jurassic,Armstrong-Altrin et al 2013,151.5,Armstrong-Altrin et al 2013,,,N,N
EC2,62.2,18.1,5.6,1.1,0.9,1.5,3,0.9,0,0.2,6.12,Pimienta Fm,Jurassic,Armstrong-Altrin et al 2013,151.5,Armstrong-Altrin et al 2013,,,N,N
EC7,58.7,18.8,8.5,1.2,0.7,0.9,3,0.8,0,0.4,6.61,Pimienta Fm,Jurassic,Armstrong-Altrin et al 2013,151.5,Armstrong-Altrin et al 2013,,,N,N
EC3,62.9,18,5.4,1.1,0.9,1.6,2.9,0.9,0,0.2,6.35,Pimienta Fm,Jurassic,Armstrong-Altrin et al 2013,151.5,Armstrong-Altrin et al 2013,,,N,N
EC5,64.4,16.2,5.4,1,0.9,1.9,2.6,0.8,0.1,0.1,6.03,Pimienta Fm,Jurassic,Armstrong-Altrin et al 2013,151.5,Armstrong-Altrin et al 2013,,,N,N
EC4,64.8,16.6,6,1,1.1,1.1,2.6,0.9,0,0.1,5.69,Pimienta Fm,Jurassic,Armstrong-Altrin et al 2013,151.5,Armstrong-Altrin et al 2013,,,N,N
EC8,64.4,15.4,6.2,1,0.9,1.3,2.5,0.7,0,0.1,6.94,Pimienta Fm,Jurassic,Armstrong-Altrin et al 2013,151.5,Armstrong-Altrin et al 2013,,,N,N
EC9,67.7,15.4,5.1,0.9,0.9,1,2.4,0.7,0,0.1,5.61,Pimienta Fm,Jurassic,Armstrong-Altrin et al 2013,151.5,Armstrong-Altrin et al 2013,,,N,N
IM5,71.93,13.28,1.34,0.482,1.54,0.514,5.28,0.21,0.016,0.051,4.76,Mendez Formation,Upper Cretaceous,Armstrong-Altrin et al 2013,83.25,Armstrong-Altrin et al 2013,,,N,N
IM4,72.07,13.32,2.05,0.536,1.69,0.444,5.14,0.23,0.017,0.041,3.57,Mendez Formation,Upper Cretaceous,Armstrong-Altrin et al 2013,83.25,Armstrong-Altrin et al 2013,,,N,N
IM1,71.34,14.73,2.16,0.269,1.42,0.16,4.31,0.2,0.004,0.044,4.32,Mendez Formation,Upper Cretaceous,Armstrong-Altrin et al 2013,83.25,Armstrong-Altrin et al 2013,,,N,N
IM2,72.12,15.12,2.06,0.26,1.45,0.15,3.7,0.2,0.004,0.42,4.02,Mendez Formation,Upper Cretaceous,Armstrong-Altrin et al 2013,83.25,Armstrong-Altrin et al 2013,,,N,N
IM6,70.6,14.52,1.9,0.415,1.03,0.198,3.19,0.36,0.017,0.032,5.96,Mendez Formation,Upper Cretaceous,Armstrong-Altrin et al 2013,83.25,Armstrong-Altrin et al 2013,,,N,N
IM7,76.18,14.09,1.52,0.479,0.33,0.027,2,0.35,0.008,0.029,4.83,Mendez Formation,Upper Cretaceous,Armstrong-Altrin et al 2013,83.25,Armstrong-Altrin et al 2013,,,N,N
IM8,75.34,13.24,2.22,0.481,0.29,0.043,1.86,0.35,0.018,0.045,4.61,Mendez Formation,Upper Cretaceous,Armstrong-Altrin et al 2013,83.25,Armstrong-Altrin et al 2013,,,N,N
IM9,87.01,7.38,0.39,0.441,0.39,0.035,1.76,0.36,0.003,0.036,2.14,Mendez Formation,Upper Cretaceous,Armstrong-Altrin et al 2013,83.25,Armstrong-Altrin et al 2013,,,N,N
IM10,89.91,6.21,0.23,0.383,0.35,0.041,1.45,0.21,0.003,0.032,1.45,Mendez Formation,Upper Cretaceous,Armstrong-Altrin et al 2013,83.25,Armstrong-Altrin et al 2013,,,N,N
IM3,74.4,16.15,0.47,0.252,0.53,0.089,0.16,0.22,0.009,0.038,6.97,Mendez Formation,Upper Cretaceous,Armstrong-Altrin et al 2013,83.25,Armstrong-Altrin et al 2013,,,N,N
MR-19,60.82,19.87,3.517062,0.97,1.01,0.19,2.61,0.97,0.021,0.081,11.51,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-22,53.66,19,3.259716,1.08,0.739,0.111,2.41,0.853,0.011,0.05,19.91,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-05,55.9,19.1,10.43681,1.3,1.01,0.56,2.21,0.822,0.078,0.11,12.11,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-14,56.9,19.41,7.405846,1.28,1.03,0.812,2.2,0.939,0.06,0.105,12.59,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-03,42.5,16.23,6.43365,0.79,0.791,0.802,2.01,0.781,0.04,0.121,31.64,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-26,41.63,15.41,7.377252,1.29,0.538,0.432,1.91,0.738,0.043,0.129,32.72,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-18,54.8,18.2,8.463824,1.31,0.89,0.783,1.73,0.838,0.051,0.09,15.69,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-57,52.2,16.94,7.734677,1.14,0.869,0.801,1.69,0.742,0.059,0.192,20.17,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-43,51.59,16.85,13.696526,1.25,0.868,0.47,1.67,0.705,0.19,0.252,16.98,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-75,51.15,16.18,16.841866,1.55,0.73,0.593,1.6,0.669,0.261,0.261,15.53,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-13,36.5,17.9,9.564693,1.29,0.87,1.11,1.58,0.83,0.073,0.132,33.13,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-90,45.59,17.37,6.162007,1,0.801,0.662,1.54,0.769,0.079,0.178,28,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-60,55.92,16.97,7.677489,1.01,0.849,0.401,1.52,0.688,0.183,0.163,17.13,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-53,53.6,16.2,8.43523,1.28,0.95,0.881,1.48,0.677,0.09,0.2,19.24,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-34,52.42,15.69,8.86414,1.42,0.91,0.89,1.45,0.671,0.091,0.25,20.21,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-84,52.15,15.57,7.162797,0.791,0.869,0.432,1.33,0.62,0.071,0.22,23.25,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-82,58.74,14.95,7.963429,0.93,0.904,0.394,1.28,0.631,0.08,0.19,16.54,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-12,35.2,14.7,9.521802,1.29,0.551,1.01,1.25,0.691,0.062,0.193,38.4,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-85,51.68,14.97,11.380412,1.08,0.87,0.731,1.25,0.608,0.122,0.228,20.93,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-04,40.6,14.8,8.86414,1.27,0.892,0.53,1.23,0.71,0.069,0.18,33.72,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-55,57.8,13.91,7.57741,1.05,0.91,0.62,1.21,0.573,0.161,0.263,18.64,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-56,48.2,9.53,9.86493,1.56,0.828,0.76,1.18,0.511,0.073,0.189,30.47,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-88,46.74,8.38,13.224725,0.969,0.788,0.739,1.15,0.437,0.19,0.189,31.26,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-54,45.2,8.28,8.72117,1.49,0.77,0.59,1.13,0.422,0.129,0.242,35.85,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-52,45.36,8.17,8.378042,1.15,0.718,0.72,1.12,0.46,0.08,0.181,36.28,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-83,40.6,8.12,11.137363,1.87,0.741,0.479,1.09,0.49,0.06,0.228,38.62,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-33,46.37,8.21,9.86493,1.5,0.779,0.891,1.07,0.48,0.102,0.272,33.43,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
MR-11,35.76,20.2,15.340681,1.65,0.659,0.78,0.75,0.761,0.06,0.083,29.07,Meihe Formation,Eocene,Bai et al 2015,44.95,Bai et al 2015,,,N,N
C16.,51.02,24.18,5.79,3.09,0.37,0.59,6.11,1.08,0.03,0.07,7.67,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
CQA1,51.73,23.64,5.97,1.58,0.45,0.43,6.01,1.03,0.02,0.06,9.09,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
C7,54.61,22.47,5.57,2.63,0.25,0.1,5.37,0.93,0.02,0.05,8,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
MS7,51.37,23.83,5.86,2.42,0.76,0.44,5.34,1.19,0.03,0.13,8.62,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
C12,54.99,22.09,6.06,2.45,0.29,0.22,5.28,0.99,0.01,0.05,7.57,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
C5,52.63,23.33,5.99,2.59,0.3,0.09,5.23,1,0.02,0.05,8.77,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
C4,56.62,22.54,3.77,2.11,0.3,0.4,5.16,1.04,0.01,0.04,8.01,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
C3,53.61,22.29,6.18,2.53,0.37,0.17,4.9,0.97,0.01,0.05,8.92,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
C13,54.54,21.22,6.62,3.17,0.51,0.62,4.87,0.96,0.03,0.06,7.4,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
C6,55.9,19.23,7.75,3.04,0.33,0.35,4.83,0.83,0.02,0.06,7.66,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
C11,52.37,21.63,8.49,2.73,0.3,0.23,4.77,0.95,0.02,0.07,8.44,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
SMBA2,56.22,19.36,7.8,1.58,0.37,0.91,4.74,0.79,0.05,0.09,8.07,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
C1,54.13,23.09,5.02,2.5,0.49,0.1,4.63,1.17,0.02,0.05,8.81,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
C8,53.53,21.43,6.4,3.1,0.64,0.47,4.62,1.04,0.03,0.06,8.68,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
MS4,54.72,21.81,6.26,2.11,0.71,0.37,4.59,1.04,0.02,0.14,8.22,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
C9,56.5,19.07,8.74,2.45,0.36,0.36,4.58,0.93,0.02,0.06,6.93,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
C10,53.01,21.63,8.61,2.56,0.28,0.27,4.49,0.96,0.02,0.06,8.11,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
SMBA1,56.68,19.04,8.06,1.92,0.54,0.79,4.24,0.81,0.1,0.1,7.72,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
MS3,55.23,18.78,6.67,2.81,0.72,0.96,4.17,0.87,0.08,0.16,9.53,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
MS5,55.79,20.83,6.6,2,0.73,0.5,4.16,0.98,0.04,0.13,8.24,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
MS6,54.22,18.03,10.02,3.09,0.67,0.55,4.06,1.02,0.6,0.12,7.62,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
MPA1,56.63,18.31,8.25,1.71,0.41,1.24,3.9,0.84,0.05,0.1,8.55,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
CCA2,54.98,16.44,9.94,2.01,0.48,1.06,3.89,0.72,0.09,0.08,10.33,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
C20,53.11,20.77,8.38,2.24,0.24,0.31,3.84,0.88,0.02,0.06,10.15,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
C15,61.35,15.87,5.41,3.19,0.42,1.22,3.6,0.7,0.13,0.08,8.03,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
SMBA4,58.86,14.67,7.43,3.32,0.48,1.13,2.85,0.52,0.33,0.09,10.31,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
C2,64.17,14.41,7.43,3.4,0.33,0.32,2.8,0.64,0.02,0.06,6.42,Mt Soro and Upper scagliose,Tithonian - Eocene,Barbera et al 2009,93,Barbera et al 2009,,,N,N
MAN1,56.96,17.89,8.2,2.03,1.26,0.13,3.9,0.81,0.01,0.14,8.67,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
MAN2,56.4,17.84,9.36,2.09,1.18,0.15,3.69,0.85,0.02,0.15,8.28,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
CAP13,54.89,19.14,8.34,2.39,0.94,0.66,3.63,0.91,0.06,0.13,8.92,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
MAN3,55.17,17.6,9.59,2.11,1.29,0.22,3.48,0.8,0.01,0.15,9.58,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
AV11,56.61,18.19,7.66,3.07,1.35,1.17,3.46,0.86,0.11,0.15,7.36,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
AV10,57.44,19.56,7.81,2.62,1.28,0.3,3.36,0.93,0.07,0.15,6.48,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
SIM12,56.52,20.51,7.43,2.17,1.5,0.17,3.36,0.99,0.03,0.15,7.17,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
MAN4R,56.4,16.67,9.02,2.01,1.44,0.11,3.27,0.77,0.01,0.13,10.15,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
MAN6,56.29,17.58,9.08,2.44,1.12,0.14,3.18,0.8,0.03,0.13,9.22,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
AV1,55.66,18.06,9.13,2.9,1.16,0.24,2.87,0.88,0.04,0.16,8.91,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
AV2,53.9,19.68,8.89,2.14,1.01,0.5,2.86,1.02,0.05,0.16,9.79,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
SAL6,55.71,17.69,10.03,2.62,0.75,0.4,2.76,0.92,0.02,0.14,8.97,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
AV5,55.93,18.95,6.88,2.93,1.38,1.94,2.7,1,0.23,0.16,7.89,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
AV4,56.1,18.84,9.02,3.08,1.1,0.73,2.67,0.95,0.1,0.2,7.22,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
MAN5,55.36,17.78,10.47,1.82,1.18,0.1,2.64,0.88,0.02,0.13,9.61,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
SIM11,54.57,19.16,8.12,3.33,1.41,0.51,2.35,1.01,0.39,0.16,8.99,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
AS3.,57.05,17.95,10.66,2.26,1.59,0.31,2.21,1,0.03,0.14,6.79,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
AR1,56.94,18.09,8.92,2.48,0.92,0.73,2.09,1.01,0.14,0.13,8.55,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
SAL7,64.82,13.48,6.06,2.55,0.61,0.46,1.96,0.64,0.02,0.12,9.27,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
MAN4V,48.16,16.55,19.51,4.44,0.7,0.08,1.93,0.69,0.05,0.11,7.79,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
AS1.,52.39,19.89,10.52,1.72,1.53,1.36,1.56,1.45,0.07,0.2,9.31,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
AS4.,57.83,14.1,15.56,3.5,0.82,0.22,1.31,0.81,0.06,0.14,5.66,Troina and Nicosia,Eocene / Oligocene,Barbera et al 2009,39.515,Barbera et al 2009,,,N,N
UN3,54.22,19.8,6.8,3.26,0.28,0.61,3.22,1.12,0.03,0.1,10.57,Numidian Flysch,Miocene,Barbera et al 2009,14.18,Barbera et al 2009,,,N,N
SAL10,54.16,21.67,4.8,1.48,0.6,0.55,2.49,1.22,0.01,0.12,12.9,Numidian Flysch,Miocene,Barbera et al 2009,14.18,Barbera et al 2009,,,N,N
